公司名称,联系电话,费率,付费方式,创建时间,单价,房号,地址,区域,状态,小区名称,租赁方式
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/01,800元/月,11C-3-4,金牛区铁路新村11C栋3单元2楼4号,金牛区,挂牌公示, 金牛区铁路新村,整租,43.86
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/11/01,970元/月,4-1-4,东升街道三强东路一段112号4栋1单元7楼4号,双流区,挂牌公示,欧城雅典,整租,50.85
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1000元/月,1-1-4,锦江区水碾河南路79号1栋1单元1楼4号,锦江区,挂牌公示,水碾河路南,整租,46
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/09/27,800元/月,1--819,西航港街道长城路二段308号1栋8楼819号,双流区,挂牌公示,文星生活广场,整租,41.36
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/07/11,1000元/月,1-2-19,武侯区国学巷37号1栋2单元2楼19号,武侯区,挂牌公示,国学巷,整租,33.89
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/20,780元/月,49-3-3,金牛区西体路11号49栋3单元5楼3号,金牛区,挂牌公示,新二村,整租,26.46
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/07/11,1000元/月,7-5-1,成华区双沙路160号7栋5单元2楼1号,成华区,挂牌公示,清盘项目2012-10-19 14:28:24,整租,66.64
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/21,700元/月,1-1-11,金牛区站西桥东巷12号1栋1单元6楼11号,金牛区,挂牌公示,清盘项目2010-12-30 15:55:44,整租,52.43
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/07/13,900元/月,1-4-2,成华区福康街82号1栋4单元1楼2号,成华区,挂牌公示,清盘项目2010-08-04 14:04:48,整租,40.12
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/08/18,1000元/月,7-2-2,金牛区蜀西环街126号7栋2单元2楼2号,金牛区,挂牌公示,郎家村七、八组拆迁安置房工程,整租,63.13
成都润锦城实业有限公司,02886943422,12%,季付,2022/10/25,1800元/月,1-4-42,青羊区包家巷82号附1号1栋4单元4楼42号,青羊区,挂牌公示,清盘项目2010-09-10 13:16:49,整租,72.72
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/14,1100元/月,4-2-14,金牛区安居苑4栋2单元5楼14号,金牛区,挂牌公示,安居苑,整租,49.3
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/24,1100元/月,30-3-29,锦江区狮子山路4号30栋3单元3楼29号,锦江区,挂牌公示,农科院,整租,38.96
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/30,1700元/月,10-2-13,金牛区黄忠小区二期10栋2单元7楼13号,金牛区,挂牌公示,黄忠小区二期,整租,76.1
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/08,1500元/月,1-1-24,青羊区白丝街2号1栋1单元11楼24号,青羊区,挂牌公示,缤纷假日国际公寓,整租,51.6
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/09/29,2000元/月,3-3-703,武侯区铁佛路108号3栋3单元7楼703号,武侯区,挂牌公示,铁佛新居北片区一期A、B标段,整租,96.93
