公司名称,联系电话,费率,付费方式,创建时间,单价,房号,地址,区域,状态,小区名称,租赁方式,面积,环境分
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/10,1600元/月,\-1-1,金牛区红花北路27号\栋1单元1楼1号,金牛区,挂牌公示,金牛区红花北路27号,整租,61.43,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/6,1500元/月,2001/3/5,金牛区金鱼街73号1栋3单元3楼5号,金牛区,挂牌公示,金鱼街,整租,58.24,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/11/3,1482元/月,5-1-1903,青羊区光华东三路401号5栋1单元19楼1903号,青羊区,挂牌公示,成都国嘉志得置业有限公司,整租,53.79,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/2,1650元/月,2002/3/8,武侯区置信路2号2栋3单元12楼8号,武侯区,挂牌公示,远鸿方程式,整租,49.32,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/11/1,800元/月,11C-3-4,金牛区铁路新村11C栋3单元2楼4号,金牛区,挂牌公示, 金牛区铁路新村,整租,43.86,3
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/30,1700元/月,2010/2/13,金牛区黄忠小区二期10栋2单元7楼13号,金牛区,挂牌公示,黄忠小区二期,整租,76.1,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1000元/月,2001/1/4,锦江区水碾河南路79号1栋1单元1楼4号,锦江区,挂牌公示,水碾河路南,整租,46,4
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1000元/月,2001/1/4,锦江区水碾河南路79号1栋1单元1楼4号,锦江区,挂牌公示,水碾河路南,整租,46,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/27,1800元/月,2001/1/3,武侯区龙腾中路10号1栋1单元5楼3号,武侯区,挂牌公示,住宅、商业用房、附属设施用房,整租,53.22,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/25,1850元/月,2001/1/3,金牛区饮马河街13号1栋1单元1楼3号,金牛区,挂牌公示,清盘项目2010-07-28 10:42:19,整租,64.81,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/25,2000元/月,2-1-2602,成华区成华大道龙潭路3号2栋1单元26楼2602号,成华区,挂牌公示,住宅及配套设施（上东国际一期）,整租,85.48,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/24,1100元/月,1930/3/29,锦江区狮子山路4号30栋3单元3楼29号,锦江区,挂牌公示,农科院,整租,38.96,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/21,1600元/月,2005/4/14,武侯区金雁路181号5栋4单元4楼14号,武侯区,挂牌公示,清盘项目2011-3-23 11:13:12,整租,74.6,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/19,2000元/月,2001/1/12,青羊区大庆路1号1栋1单元7楼12号,青羊区,挂牌公示,大庆路,整租,115.6,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/18,1700元/月,-12,锦江区梓潼桥西街16号1单元4楼11号,锦江区,挂牌公示,锦江区梓潼桥西街,整租,52,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/18,1858元/月,-22,青羊区方正东街58号3单元5楼19号,青羊区,挂牌公示,方正东街,整租,59.6,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/17,1100元/月,1-1-302,锦江区国槐街698号1栋1单元3楼302号,锦江区,挂牌公示,海桐一期,整租,46.69,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/16,1460元/月,2001/2/13,武侯区长益路2号1栋2单元8楼13号,武侯区,挂牌公示,清盘项目2011-4-8 13:19:15,整租,43.07,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/16,1200元/月,4--27,金牛区田家巷18号4栋7楼27号,金牛区,挂牌公示,清盘项目2010-10-09 15:55:19,整租,54.24,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/13,1140元/月,1--5,武侯区一环路南一段2号1栋4楼5号,武侯区,挂牌公示,好望角,整租,32.99,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/10,1400元/月,2004/2/7,锦江区永兴巷9号4栋2单元4楼7号,锦江区,挂牌公示,清盘项目2010-12-24 14:04:01,整租,41.42,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/9,1458元/月,5月3日,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,46.97,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/9,1471元/月,5月1日,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,47.32,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/10/9,1661元/月,5月2日,锦江区顺江路81号3栋1单元7楼5号,锦江区,挂牌公示,粼江峰阁,合租,53.47,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/7,1800元/月,1-3-102,武侯区龙门巷6号1栋3单元1楼102号,武侯区,挂牌公示,清盘项目2011-03-07 15:23:23,整租,66.78,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/5,1350元/月,2002/1/14,金牛区抚琴西路250号2栋1单元5楼14号,金牛区,挂牌公示,清盘项目2010-08-10 14:22:16,整租,47.27,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/4,1300元/月,A-1-12,锦江区五世同堂街72号A栋1单元7楼12号,锦江区,挂牌公示,清盘项目2010-11-30 10:34:32,整租,54.91,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/10/1,2000元/月,7-1-3404,成华区和美西路8号7栋1单元34楼3404号,成华区,挂牌公示,首创国际城,整租,88.62,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/9/27,800元/月,1--819,西航港街道长城路二段308号1栋8楼819号,双流区,挂牌公示,文星生活广场,整租,41.36,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/9/25,2000元/月,2003/1/13,金牛区白果林小区百寿巷2号3栋1单元7楼13号,金牛区,挂牌公示,白果林小区,整租,72.18,
成都润锦城实业有限公司,2886943422,12%,季付,2022/9/25,1900元/月,2001/5/9,青羊区鼓楼北三街32号1栋5单元9号,青羊区,挂牌公示,鼓楼北三街,整租,58.39,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/24,1800元/月,65-3-51,锦江区水碾河路6号65栋3单元5楼51号,锦江区,挂牌公示,清盘项目2010-07-31 10:01:36,整租,59.48,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/23,1800元/月,2001/1/19,锦江区青石桥南街50号1栋1单元7楼19号,锦江区,挂牌公示,清盘项目2010-9-27 15:35:22,整租,57.3,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/23,2000元/月,2002/2/13,锦江区三圣街58号2栋2单元7楼13号,锦江区,挂牌公示,清盘项目2010-08-20 16:25:02,整租,54.12,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/23,1250元/月,12--16,青羊区瑞南街33号12栋4楼16号,青羊区,挂牌公示,清盘项目2010-12-02 16:21:10,整租,46.97,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/23,1258元/月,1--23,武侯区少陵横街5号1栋8楼23号,武侯区,挂牌公示,锦宏·纳米爱邸,整租,42.1,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/9/21,1700元/月,1-3-1004,青羊区瑞联路59号1栋3单元10楼1004号,青羊区,挂牌公示,T.T尚品,整租,56.22,
